번호	신체 부위	설명 / 상징성	대응 무기	무기 속성 제안 
1	심장	생명의 핵심 / 불멸	검	생명력, 정의, 중심 
2	두개골	지혜 / 정신 / 계획	지팡이	마력, 의지, 주술 
3	오른팔	힘 / 주 무기	대검	압도적 파괴력 
4	왼팔	민첩 / 보조	쌍절곤	속도, 연속 공격 
5	오른다리	전진 / 추진력	창	돌진, 찌르기, 직진성 
6	왼다리	균형 / 지지	메이스	방어 돌파, 충격 
7	눈	관찰 / 진실 / 미래	레이피어	정밀, 꿰뚫음, 예지 
8	입	말 / 주문 / 유혹	지팡이 (중복 불가 시 제외)	 
9	혀	날카로움 / 독설	단검	암살, 침투, 은밀성 
10	척추	생명력 / 연결 / 버팀	곡도	유연한 공격, 지속 
11	갈비뼈	보호 / 내장 감싸기	시미터	곡선의 방어형 무기 
12	오른손	세밀한 조작	도검(카타나)	집중된 베기, 기술성 
13	왼손	보조 / 잡기	전투도끼	단단한 한 방, 직결력 
14	피	생명 에너지 / 흘러감	낫	수확, 저승, 생사 
15	허파 / 폐	호흡 / 속도 / 흐름	삼지창	민첩성, 수중전, 유연함
